,HOME_TEAM_NAME,HOME_DATE,HOME_W_PCT,HOME_FG_PCT,HOME_FG3_PCT,HOME_OREB,HOME_DREB,HOME_AST,HOME_TOV,HOME_STL,HOME_BLK,HOME_PTS,AWAY_TEAM_NAME,AWAY_DATE,AWAY_W_PCT,AWAY_FG_PCT,AWAY_FG3_PCT,AWAY_OREB,AWAY_DREB,AWAY_AST,AWAY_TOV,AWAY_STL,AWAY_BLK,AWAY_PTS,Home Team Wins
24,Golden State Warriors,11052018,0.9,0.52,0.414,9.8,37.3,30.7,15.4,8.2,6.1,124.1,Memphis Grizzlies,11052018,0.625,0.44799999999999995,0.377,7.6,30.8,23.0,13.3,10.9,3.1,104.0,True
25,Indiana Pacers,11052018,0.7,0.494,0.39,8.7,32.3,23.1,13.6,8.5,5.5,107.9,Houston Rockets,11052018,0.375,0.423,0.336,11.8,30.5,21.1,14.0,8.5,6.6,106.3,False
26,New York Knicks,11052018,0.3,0.44,0.33399999999999996,11.5,32.0,20.1,14.4,7.6,3.2,106.1,Chicago Bulls,11052018,0.2,0.45899999999999996,0.386,7.9,33.3,23.9,14.9,6.5,5.1,107.2,False
27,Oklahoma City Thunder,11052018,0.5,0.444,0.29100000000000004,13.0,34.0,22.0,14.6,11.3,6.0,112.1,New Orleans Pelicans,11052018,0.444,0.479,0.354,11.4,35.0,26.1,14.4,7.4,5.4,118.9,True
28,Orlando Magic,11052018,0.33299999999999996,0.424,0.309,11.1,33.9,24.9,12.9,7.3,5.8,101.8,Cleveland Cavaliers,11052018,0.111,0.445,0.34600000000000003,12.2,29.1,20.7,14.7,8.1,1.8,106.1,True
29,Utah Jazz,11052018,0.444,0.46299999999999997,0.358,9.8,33.8,23.2,15.6,7.9,5.4,109.8,Toronto Raptors,11052018,0.9,0.485,0.34600000000000003,10.5,36.1,26.6,13.8,8.5,6.3,116.7,False
30,Charlotte Hornets,11062018,0.5,0.46799999999999997,0.36,10.6,34.5,25.1,12.7,6.0,6.8,115.7,Atlanta Hawks,11062018,0.33299999999999996,0.45299999999999996,0.359,9.1,35.0,25.6,18.9,8.1,5.9,110.8,True
31,Dallas Mavericks,11062018,0.222,0.45299999999999996,0.341,10.9,32.3,23.8,16.8,6.9,4.7,110.8,Washington Wizards,11062018,0.222,0.442,0.313,8.9,31.8,21.8,14.9,8.1,7.1,111.3,True
32,Phoenix Suns,11062018,0.222,0.45899999999999996,0.336,8.4,33.0,24.6,18.8,6.4,2.8,102.7,Brooklyn Nets,11062018,0.4,0.461,0.382,10.8,32.4,24.9,15.8,6.3,4.6,109.9,False
33,Portland Trail Blazers,11062018,0.7,0.465,0.35600000000000004,11.6,40.3,20.2,15.2,6.1,4.8,117.2,Milwaukee Bucks,11062018,0.889,0.48,0.379,9.9,44.6,26.4,16.3,6.1,6.7,121.9,True
34,Atlanta Hawks,11072018,0.3,0.456,0.34600000000000003,8.9,34.5,25.2,19.2,8.6,6.2,109.9,New York Knicks,11072018,0.273,0.435,0.32899999999999996,12.4,32.8,20.1,14.7,7.5,3.5,106.9,False
