,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,DATE
68,1610612765,Detroit Pistons,8,4,4,0.5,49.3,39.3,91.5,0.429,9.8,32.0,0.305,21.3,28.5,0.746,11.9,36.3,48.1,18.8,14.6,5.4,4.1,4.4,25.3,25.3,109.5,-2.6,21,14,11,13,1,24,8,27,22,13,28,6,4,18,5,8,7,30,13,30,25,5,29,4,20,20,10,Detroit Pistons,11032018
69,1610612744,Golden State Warriors,10,9,1,0.9,48.0,46.3,89.0,0.52,13.3,32.1,0.414,18.2,22.5,0.809,9.8,37.3,47.1,30.7,15.4,8.2,6.1,2.9,22.8,20.6,124.1,13.5,1,1,1,1,11,2,21,1,5,12,1,15,19,7,22,6,8,1,22,10,9,1,17,27,1,1,10,Golden State Warriors,11032018
70,1610612745,Houston Rockets,8,3,5,0.375,48.0,38.3,90.5,0.423,13.9,41.3,0.336,15.9,22.9,0.694,11.8,30.5,42.3,21.1,14.0,8.5,6.6,5.1,23.0,21.1,106.3,-5.9,21,20,15,20,11,26,16,28,2,1,24,25,18,28,6,29,24,26,10,7,4,14,19,23,25,23,10,Houston Rockets,11032018
71,1610612754,Indiana Pacers,10,7,3,0.7,48.0,42.4,85.9,0.494,9.2,23.6,0.39,13.9,19.6,0.709,8.7,32.3,41.0,23.1,13.6,8.5,5.5,5.8,19.6,19.7,107.9,5.2,1,4,7,7,11,9,25,4,26,28,4,29,29,26,27,24,28,21,6,7,15,21,2,29,22,8,10,Indiana Pacers,11032018
72,1610612746,LA Clippers,9,5,4,0.556,48.0,40.7,85.9,0.473,9.6,24.4,0.391,24.9,30.3,0.821,9.2,37.7,46.9,21.4,16.3,5.7,5.9,6.0,24.6,25.6,115.8,5.9,6,11,11,12,11,15,27,8,24,27,3,1,1,6,24,5,10,25,25,29,13,24,27,2,8,7,10,LA Clippers,11032018
73,1610612747,Los Angeles Lakers,9,4,5,0.444,48.6,47.1,94.7,0.498,10.2,29.1,0.351,15.8,22.3,0.706,10.1,35.0,45.1,25.7,15.3,9.2,6.7,5.9,23.6,21.6,120.2,0.3,6,14,15,16,4,1,1,3,20,22,19,26,20,27,19,12,16,6,21,5,3,22,22,20,2,16,10,Los Angeles Lakers,11032018
74,1610612763,Memphis Grizzlies,7,5,2,0.714,48.0,36.3,81.6,0.445,11.0,28.6,0.385,21.0,28.1,0.746,7.4,32.1,39.6,23.6,13.3,10.6,3.1,5.1,23.4,23.4,104.6,4.6,30,11,5,6,11,30,30,20,17,23,8,7,6,17,30,25,30,18,4,2,27,15,21,12,27,9,10,Memphis Grizzlies,11032018
75,1610612748,Miami Heat,8,3,5,0.375,48.0,40.0,90.6,0.441,12.5,34.6,0.361,20.0,27.6,0.724,13.0,35.8,48.8,22.4,16.1,6.6,6.8,8.1,23.0,25.1,112.5,0.3,21,20,15,20,11,18,13,24,7,9,12,11,8,22,1,11,5,22,24,21,2,30,19,5,13,17,10,Miami Heat,11032018
76,1610612749,Milwaukee Bucks,8,7,1,0.875,48.0,43.5,90.6,0.48,14.8,39.1,0.377,17.4,22.3,0.781,9.9,44.4,54.3,26.0,16.8,6.1,6.6,5.8,22.4,21.4,119.1,13.4,21,4,1,4,11,6,13,6,1,2,9,18,21,10,21,1,1,4,27,24,4,19,12,22,4,2,10,Milwaukee Bucks,11032018
77,1610612750,Minnesota Timberwolves,9,4,5,0.444,48.0,41.0,93.3,0.439,11.2,30.7,0.366,20.9,25.3,0.825,11.7,31.7,43.3,23.2,13.0,9.6,6.6,6.4,20.6,22.3,114.1,-4.1,6,14,15,16,11,13,2,25,15,19,11,9,12,3,7,27,21,19,3,3,7,26,4,16,10,21,10,Minnesota Timberwolves,11032018
